,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM
Cage Oversight,Winifred Asprey,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
Cage Transport,Grace Hopper,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
Cage Transport,Marissa Mayer,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
Stage Set Up,BLANK,Barbara Liskov,Alan Kay,BLANK,BLANK,BLANK,BLANK
Stage Set Up,BLANK,John Backus,Sophie Wilson,BLANK,BLANK,BLANK,BLANK
Registration Set Up,BLANK,James Gosling,BLANK,BLANK,BLANK,BLANK,BLANK
Registration Check In,BLANK,BLANK,Jeannette Wing,Radia Perlman,BLANK,BLANK,BLANK
Registration Check In,BLANK,BLANK,Stephen Cook,Stephen Cook,BLANK,BLANK,BLANK
Registration Usher,BLANK,BLANK,Anita Borg,Anita Borg,BLANK,BLANK,BLANK
Tech Oversight/Set Up,BLANK,Daphne Koller,Daphne Koller,Rosalind Picard,Rosalind Picard,Jean Sammet,BLANK
Photographer,BLANK,BLANK,Edgar Codd,Edgar Codd,Edgar Codd,Alan Turing,BLANK
Social Media,BLANK,BLANK,BLANK,Tim Berners-Lee,Tim Berners-Lee,BLANK,BLANK
Utility,BLANK,BLANK,Jennifer Widom,Larry Page,John von Neumann,Sergey Brin,BLANK
Cage Oversight,BLANK,BLANK,BLANK,BLANK,BLANK,Annie Easley,Annie Easley
Cage Transport,BLANK,BLANK,BLANK,BLANK,BLANK,Edsger Dijkstra,Brian Kernighan
Cage Transport,BLANK,BLANK,BLANK,BLANK,BLANK,Steve Wozniak,Steve Wozniak
