Name,Position,Shift Start Time,Shift End Time,Email
Alan Kay,Stage Set Up,4:30 PM,5:00 PM,akay@berkeley.edu
Alan Turing,Photographer,6:00 PM,6:30 PM,aturing@berkeley.edu
Anita Borg,Registration Usher,4:30 PM,5:30 PM,aborg@berkeley.edu
Annie Easley,Cage Oversight,6:00 PM,7:00 PM,aeasley@berkeley.edu
Barbara Liskov,Stage Set Up,4:00 PM,4:30 PM,bliskov@berkeley.edu
Brian Kernighan,Cage Transport,6:30 PM,7:00 PM,bkernighan@berkeley.edu
Daphne Koller,Tech Oversight/Set Up,4:00 PM,5:00 PM,dkoller@berkeley.edu
Edgar Codd,Photographer,4:30 PM,6:00 PM,ecodd@berkeley.edu
Edsger Dijkstra,Cage Transport,6:00 PM,6:30 PM,edijkstra@berkeley.edu
Grace Hopper,Cage Transport,3:30 PM,4:00 PM,ghopper@berkeley.edu
James Gosling,Registration Set Up,4:00 PM,4:30 PM,jgosling@berkeley.edu
Jean Sammet,Tech Oversight/Set Up,6:00 PM,6:30 PM,jsammet@berkeley.edu
Jeannette Wing,Registration Check In,4:30 PM,5:00 PM,jwing@berkeley.edu
Jennifer Widom,Utility,4:30 PM,5:00 PM,jwidom@berkeley.edu
John Backus,Stage Set Up,4:00 PM,4:30 PM,jbackus@berkeley.edu
John von Neumann,Utility,5:30 PM,6:00 PM,jneumann@berkeley.edu
Larry Page,Utility,5:00 PM,5:30 PM,lpage@berkeley.edu
Marissa Mayer,Cage Transport,3:30 PM,4:00 PM,mmayer@berkeley.edu
Radia Perlman,Registration Check In,5:00 PM,5:30 PM,rperlman@berkeley.edu
Rosalind Picard,Tech Oversight/Set Up,5:00 PM,6:00 PM,rpicard@berkeley.edu
Sergey Brin,Utility,6:00 PM,6:30 PM,sbrin@berkeley.edu
Sophie Wilson,Stage Set Up,4:30 PM,5:00 PM,swilson@berkeley.edu
Stephen Cook,Registration Check In,4:30 PM,5:30 PM,scook@berkeley.edu
Steve Wozniak,Cage Transport,6:00 PM,7:00 PM,swozniak@berkeley.edu
Tim Berners-Lee,Social Media,5:00 PM,6:00 PM,tberners-lee@berkeley.edu
Winifred Asprey,Cage Oversight,3:30 PM,4:00 PM,wasprey@berkeley.edu
