,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM
Cage Oversight,Leslie Lamport,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
Cage Transport,Sophie Wilson,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
Cage Transport,Dennis Ritchie,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
Stage Set Up,BLANK,Leslie Lamport,BLANK,BLANK,BLANK,BLANK,BLANK
Stage Set Up,BLANK,Sophie Wilson,BLANK,BLANK,BLANK,BLANK,BLANK
Registration Set Up,BLANK,Dennis Ritchie,BLANK,BLANK,BLANK,BLANK,BLANK
Registration Check In,BLANK,BLANK,Karen Jones,BLANK,BLANK,BLANK,BLANK
Registration Check In,BLANK,BLANK,Wendy Hall,BLANK,BLANK,BLANK,BLANK
Registration Usher,BLANK,BLANK,Annie Easley,BLANK,BLANK,BLANK,BLANK
Late Registration Check In,BLANK,BLANK,BLANK,Annie Easley,Alan Perlis,BLANK,BLANK
Tech Oversight/Set Up,BLANK,Sergey Brin,Sergey Brin,Yukihiro Matsumoto,Yukihiro Matsumoto,Edsger Dijkstra,BLANK
Photographer,BLANK,BLANK,Jeannette Wing,Jeannette Wing,Ada Lovelace,Anita Borg,BLANK
Social Media,BLANK,BLANK,BLANK,Winifred Asprey,Winifred Asprey,BLANK,BLANK
Utility,BLANK,BLANK,Betty Holberton,Barbara Liskov,Barbara Liskov,Frances Allen,BLANK
Cage Oversight,BLANK,BLANK,BLANK,BLANK,BLANK,Tim Berners-Lee,BLANK
Cage Transport,BLANK,BLANK,BLANK,BLANK,BLANK,Alan Perlis,BLANK
Cage Transport,BLANK,BLANK,BLANK,BLANK,BLANK,Larry Page,BLANK
