Name,Position,Shift Start Time,Shift End Time,Email
Alan Kay,Cage Transport,5:00 PM,5:30 PM,akay@berkeley.edu
Alan Turing,Registration Usher,6:00 PM,6:30 PM,aturing@berkeley.edu
Anita Borg,Registration Check In,6:30 PM,7:00 PM,aborg@berkeley.edu
Annie Easley,Stage Set Up,6:00 PM,6:30 PM,aeasley@berkeley.edu
Barbara Liskov,Stage Set Up,5:30 PM,6:30 PM,bliskov@berkeley.edu
Brian Kernighan,Registration Check In,6:30 PM,7:00 PM,bkernighan@berkeley.edu
Daphne Koller,Registration Check In,6:00 PM,6:30 PM,dkoller@berkeley.edu
Edgar Codd,Utility,7:30 PM,8:00 PM,ecodd@berkeley.edu
Edsger Dijkstra,Registration Check In,6:00 PM,6:30 PM,edijkstra@berkeley.edu
Grace Hopper,Cage Transport,7:30 PM,8:30 PM,ghopper@berkeley.edu
James Gosling,Stage Set Up,5:30 PM,6:00 PM,jgosling@berkeley.edu
Jean Sammet,Cage Oversight,8:00 PM,8:30 PM,jsammet@berkeley.edu
Jeannette Wing,Tech Oversight/Set Up,5:30 PM,6:00 PM,jwing@berkeley.edu
Jennifer Widom,Cage Oversight,7:30 PM,8:00 PM,jwidom@berkeley.edu
John Backus,Utility,6:00 PM,7:30 PM,jbackus@berkeley.edu
Larry Page,Social Media,6:30 PM,7:00 PM,lpage@berkeley.edu
Marissa Mayer,Photographer,6:00 PM,8:00 PM,mmayer@berkeley.edu
Radia Perlman,Cage Transport,5:00 PM,5:30 PM,rperlman@berkeley.edu
Rosalind Picard,Cage Transport,7:30 PM,8:00 PM,rpicard@berkeley.edu
Shafi Goldwasser,Cage Transport,8:00 PM,8:30 PM,sgoldwasser@berkeley.edu
Sophie Wilson,Cage Oversight,5:00 PM,5:30 PM,swilson@berkeley.edu
Stephen Cook,Registration Usher,6:30 PM,7:00 PM,scook@berkeley.edu
Steve Wozniak,Tech Oversight/Set Up,6:00 PM,8:00 PM,swozniak@berkeley.edu
Tim Berners-Lee,Registration Set Up,5:30 PM,6:00 PM,tberners-lee@berkeley.edu
Winifred Asprey,Social Media,7:00 PM,7:30 PM,wasprey@berkeley.edu
